A220001,1,B,24.42,0,128,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,,Complete,90%,moderate,,12.70,4.20,3.20,0.83,,,moderate,1,CNEA,,,,,,,,,,,,,,,,,,
A220002,2,B,69.8,0,2,,,grinding stone,probable,,,,,circular,Nearly,Basalt,5YR6/1,Complete,90%,moderate,,830,32.22,31.64,27.32,,,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220003,3,B,69.8,0,2,,,grinding stone ,possible,,,,,ovoid,Slightly,Basalt,5YR5/1,Complete,80%,crude,,670,33.44,30.73,26.90,,,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220004,3,B,42.24,0,131,,,gaming piece,possible,,,,,spherical,Nearly,stone,5YR8/2,Complete,100%,moderate,,23,,,,7.00,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220005,90,B,25.62,61,276,,,weight,probable,,,,,spherical,Slightly,clay,5YR7/4,Complete,100%,moderate,,39,4.15,3.29,3.50,,,whole,,CNEA,,,,,,,,,,,,,,,,,,
A220006,94,B,25.62,58,280,,,upper grinding stone,probable,,,,,rectangular,Slightly,,5YR7/2,Partial,,moderate,,1120,15.47,7.40,5.92,,,,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220007,2,B,24.42,0,131,,,weight,probable,,,,,ring,Slightly,limestone,10YR7/6,Partial,30%,moderate,,820.00,13.30,5.40,6.80,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220008,1,B,41.3,0,48,,,UD,,,,,,crescent,Slightly,limestone,5YR8/2,Partial,,crude,,755,12.44,6.09,6.66,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220009,1,B,25.61,0,105,,,Jar Stopper,probable,,,,,circular,Exactly,Ceramic,10R7/4,Complete,100%,moderate,,46.58,6.08,6.19,0.95,,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220010,8,B,25.61,0,109,,,pestle,probable,,,,,triangular,Nearly,pumice,5YR4/1,Complete,100%,moderate,,52.85,4.60,4.40,3.70,,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220011,9,B,25.62,1,234,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR6/1,Complete,90%,moderate,,37.7,5.70,4.40,1.20,,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220012,7,B,25.62,1,232,,,Spindle Whorl,certain,,,,,crescent,Slightly,Ceramic,7YR8/1,Partial,40%,moderate,,24.6,4.70,3.30,1.40,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220013,6,B,24.42,0,129,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,10YR8/2,Complete,100%,fine,,28.41,5.29,4.32,1.10,,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220014,3,B,25.62,0,222,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR6/1,Complete,90%,moderate,,22.42,4.61,4.52,1.04,,,whole,,CNEA,,,,,,,,,,,,,,,,,,
A220015,2,B,25.62,0,224,,,Spindle Whorl,certain,,,,,crescent,Exactly,Ceramic,10YR/7.3,Partial,50%,moderate,,26.06,6.35,3.53,1.15,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220016,16,B,25.61,5,114,,B22.0390,weight,probable,,,,,crescent,Slightly,limestone,,Partial,50%,crude,,1890,23.70,11.43,5.79,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220017,7,B,24.42,4,139,,,Bangle,possible,,,,,rectangular,possible,glass,Gley1 S/5G,Partial,,fine,Prunts,1.6,2.57,0.91,0.75,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220018,9,B,24.42,0,132,,,grinding stone,probable,,,,,spherical,Slightly,Basalt,2.5Y4/0,Complete,100%,,,160,5.71,5.28,4.94,,,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220019,11,B,25.61,5,113,,,mortar,possible,,,,,triangular,rounded,Basalt,Gley 1 5/N,Partial,20%,moderate,,295,7.56,4.96,5.43,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220020,23,B,69.6,0,0,,B22.0059,Bangle,certain,,,,,crescent,Slightly,glass,Gley 3/5B,Partial,20%,fine,striped,5.6,4.50,0.07,0.08,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220021,11,B,69.7,1,6,,,Bangle,probable,,,,,crescent,Slightly,glass,10YR8/2,Partial,,moderate,,1.89,3.70,0.69,0.56,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220022,8,B,69.7,1,1,,B22.0053,Bangle,probable,,,,,lunate,Slightly,glass,Gley1 6/56,Partial,10%,moderate,,1.3,1.80,0.76,0.70,,,broken,1,CNEA,,,,,,,,,,,,,,,,,,
A220023,10,B,69.7,5,7,,B22.0256,bead,certain,,,,,conical,Slightly,stone,5YR8/1,Partial,50%,moderate,,0.35,1.14,0.77,0.77,,,broken,1,CNEA,or glass?,,,,,,,,,,,,,,,,,
A220024,21,B,25.61,5,117,,,grinding stone,probable,,,,,spherical,Nearly,Basalt,2.5YR8/1,Partial,80%,moderate,,715.00,8.98,7.85,5.70,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220025,22,B,24.42,27,144,,,Pounder,probable,,,,,spherical,Nearly,stone,2.5Y6/1,Complete,100%,moderate,,255.00,5.96,5.17,5.31,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220026,24,B,25.61,5,118,,,bead,certain,,,,,cylindrical,Nearly,glass,7.5YR2/0,Partial,40%,moderate,,4.05,1.87,1.59,1.00,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220027,12,B,25.61,6,113,,,pounder,probable,,,,,spherical,Nearly,quartzite,7.5YR7/2,Partial,90%,moderate,,525.00,7.55,7.14,6.13,,,,,DoA Karak,quartzite congolomerate?,,,,,,,,,,,,,,,,,
A220028,7,B,42.21,36,112,,,nail,certain,,,,,linear,Slightly,metal,7.5YR4/3,Complete,100%,moderate,,15.92,6.96,0.73,2.50,,,,,CNEA,nail head is 2.5 cm wide,,,,,,,,,,,,,,,,,
A220029,4,B,25.62,1,233,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,2.5YR6/4,Complete,100%,moderate,,9.67,3.33,3.01,0.95,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220030,22,B,25.62,51,242,,,bead,certain,,,,,circular,Nearly,glass,,Partial,70%,moderate,,0.75,1.10,0.90,0.74,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220031,18,B,25.61,5,116,,,bead,certain,,,,,circular,Slightly,glass,,Partial,90,fine,dots,0.61,1.10,0.97,0.80,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220032,4,B,41.3,0,47,,B22.0247,Bead,certain,,,,,circular,Exactly,stone,10YR8/2,Complete,100,fine,,7.71,2.24,2.22,1.10,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220033,18,B,24.42,2,141,,,Jar Stopper,certain,,,,,circular,Exactly,Ceramic,5YR8/4,Complete,100,moderate,,17.21,3.72,3.47,1.11,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220034,21,B,24.42,2,137,,,Jar Stopper,certain,,,,,circular,Exactly,Ceramic,7.5YR8/2,Complete,100,moderate,,4.02,2.30,1.90,0.65,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220035,7,B,39.43,0,0,,B22.0434,mortar,possible,,,,,triangular,rounded,Basalt,10YR6/1,Partial,35,fine,,445.00,9.94,7.27,5.46,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220036,7,B,42.21,35,107,,,Jar Stopper,certain,,,,,circular,Nearly,Ceramic,5YR7/4,Complete,100,moderate,,23.38,3.92,3.55,1.38,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220037,27,B,24.42,2,141,,,tool,possible,,,,,conical,Slightly,stone,5YR6/6,Complete,100,moderate,,24.87,5.52,1.79,1.36,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220038,4,B,24.42,0,132,,,grinding stone,certain,,,,,cylindrical,Exactly,stone,10R6/1,Complete,100,fine,,1160.00,8.85,9.07,7.69,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220039,7,B,24.42,0,132,,,Spindle Whorl,certain,,,,,circular,Nearly,Ceramic,5YR7/4,Partial,45,moderate,,5.53,4.24,2.35,0.58,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220040,12,B,41.3,24,62,,B22.0613,grinding stone,possible,,,,,rectangular,Slightly,Basalt,Gley 2 4/10B,Partial,20,,,3175.00,300.00,140.00,95.00,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220041,33,B,25.61,0,120,,B22.0613,pestle,probable,,,,,rectangular,Exactly,Basalt,Gley 1 5/N,Complete,98,moderate,,140.00,6.32,3.88,3.08,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220042,13,B,25.62,1,240,,,grinding stone,probable,,,,,Loaf-Shaped,Nearly,Basalt,5YR6/2,Partial,50,,,310.00,9.28,6.27,3.28,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220043,24,B,25.62,1,243,,,Spindle Whorl,certain,,,,,circular,Nearly,Ceramic,5YR8/3,Partial,50,,,16.08,4.67,2.66,1.24,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220044,20,B,25.61,0,109,,,Jar Stopper,certain,,,,,circular,Nearly,Ceramic,5YR6/3,Complete,100,,,12.73,3.36,3.09,0.95,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220045,19,B,25.62,1,236,,,grinding stone,certain,,,,,rectangular,Nearly,Basalt,5YR5/1,Partial,50,moderate,,1550.00,14.38,10.62,5.66,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220046,54,B,24.42,26,162,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR8/1,Complete,100,moderate,,65.00,5.39,5.21,1.49,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220047,9,B,25.61,5,113,,,needle,possible,,,,,rectilinear,,bone,7.5YR7/2,,,,,1.84,5.90,0.78,0.44,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220048,10,B,25.61,5,113,,,pounder,probable,,,,,ovoid,Slightly,stone,7.5YR8/1,Partial,50,moderate,,250.00,6.19,5.96,4.43,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220049,54,B,25.61,19,127,,,bead,certain,,,,,circular,Slightly,glass,Gley 1 4/N,Partial,50,,,4.46,2.07,1.50,0.88,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220050,58,B,25.62,58,263,,,ring,possible,,,,,circular,Nearly,metal,10YR7/1,Partial,80,,,,1.35,0.50,0.30,,,,,CNEA,Lost in field,,,,,,,,,,,,,,,,,
A220051,38,B,25.61,19,123,,,bowl,probable,,,,,circular,Slightly,stone,7.5YR7/4,Partial,50,fine,,150.00,8.28,4.44,4.72,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220052,8,B,25.62,1,232,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR7/3,Complete,100,moderate,,35.00,4.79,4.67,1.23,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220053,18,B,25.62,1,229,,,grinding stone,probable,,,,,rectangular,somehwat,Basalt,7.5YR7/1,Complete,100,moderate,,420.00,7.96,6.34,5.61,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220054,23,B,25.61,5,117,,,hand grinder,possible,,,,,triangular,elongated,Basalt,7.5YR8/1,Partial,40,moderate,,300.00,8.76,6.50,5.51,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220055,26,B,25.62,35,245,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR8/3,Partial,40,moderate,,40.00,5.77,3.22,1.96,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220056,2,B,42.21,33,103,,840.05,grinding stone,possible,,,,,crescent,Slightly,stone,7.5YR6/1,Partial,30,crude,,820.00,19.00,9.87,3.76,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220057,32,B,25.61,5,115,,,Jar Stopper,probable,,,,,circular,Slightly,Ceramic,7.5YR8/3,Partial,60,crude,,30.00,5.29,4.19,1.17,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220058,29,B,24.42,54,142,,,Spindle Whorl,probable,,,,,circular,Nearly,Ceramic,7.5YR7/4,Partial,40,moderate,,20.24,4.99,3.02,1.29,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220059,25,B,25.61,5,118,,,hand grinder,possible,,,,,rectangular,Nearly,Basalt,5YR7/1,Complete,99,moderate,,1410.00,11.24,9.25,8.08,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220060,4,B,42.21,33,103,,,hand grinder,probable,,,,,circular,Nearly,Basalt,5YR7/2,Complete,100,moderate,,355.00,6.96,6.79,5.18,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220061,17,B,25.62,1,223,,,grinding stone,certain,,,,,circular,Nearly,Basalt,5YR6/1,Complete,100,moderate,,150.00,5.81,4.45,3.91,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220062,17,B,24.42,2,141,,,Jar Stopper,probable,,,,,circular,Exactly,Ceramic,7.5YR8/1,Complete,100%,moderate,,7.78,2.61,2.77,0.91,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220063,3,B,25.61,4,112,,,grinding stone,probable,,,,,circular,Nearly,Basalt,2.5Y8/1,Complete,100,crude,,955.00,9.80,9.30,6.38,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220064,51,B,25.61,19,126,,,hand grinder,possible,,,,,rectangular,Nearly,Basalt,7.5YR6/1,Partial,50,moderate,,460.00,7.28,7.06,4.43,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220065,50,B,24.42,26,157,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR8/1,Complete,100,moderate,,6.61,2.51,2.53,0.77,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220066,48,B,24.42,26,150,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,10YR8/2,Partial,90,moderate,,6.16,2.79,2.40,0.83,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220067,34,B,25.61,0,121,,,hand grinder,probable,,,,,ovoid,Slightly,Basalt,10YR7/1,Partial,50,crude,,250.00,6.56,4.67,4.55,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220068,49,B,24.42,26,150,,,Jar Stopper,,,,,,circular,Nearly,Ceramic,7.5YR8/1,Complete,100,moderate,,8.58,2.71,2.81,0.91,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220069,19,B,69.52,0,0,,B22.0601,Bangle,certain,,,,,crescent,Slightly,glass,,Partial,15,moderate,striped,3.48,3.38,0.79,0.74,,,,,CNEA,"black, yellow, white",,,,,,,,,,,,,,,,,
A220070,2,B,42.21,33,103,,,grinding stone,possible,,,,,crescent,Nearly,Basalt,10YR6/1,Partial,40,crude,,830.00,20.40,8.87,3.44,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220071,22,B,25.62,35,253,,,Jar Stopper,possible,,,,,circular,Nearly,Ceramic,5YR7/6,Complete,100,moderate,,9.08,3.47,3.10,0.68,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220072,20,B,42.21,39,118,,,Jar Stopper,possible,,,,,ovoid,Slightly,Ceramic,5Y5/1,Complete,100,crude,,13.87,3.95,3.11,0.97,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220073,22,B,25.61,5,117,,,lower grinding stone,possible,,,,,lunate,Slightly,Basalt,10YR7/1,Partial,,crude,,385.00,11.44,6.93,5.62,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220074,9,B,36.39,0,0,,B22.0436,weight,possible,,,,,oblong,Slightly,limestone,2.5YR8/3,Partial,20,moderate,,590.00,14.00,6.59,3.84,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220075,32,B,24.42,27,144,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR8/2,Complete,100,moderate,,3.99,2.26,2.32,0.75,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220076,6,B,42.21,35,106,,B22.0286,grinding stone,probable,,,,,rectangular,Exactly,Basalt,Gley 1 5/N,Partial,30,moderate,,4928.00,18.50,17.00,7.42,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220077,38,B,42.21,36,113,,B22.0529,lower grinding stone,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220078,53,B,42.21,26,162,,B22.0652,lower grinding stone,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220079,13,B,54.1,0,0,,B22.0590,Bangle,certain,,,,,crescent,Nearly,glass,10YR4/3,Partial,20,fine,,2.20,3.88,0.53,0.64,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220080,27,B,69.7,7,18,,B22.0685,Bangle,certain,,,,,crescent,Nearly,glass,10R 2.5/1,Partial,20,mod,,2.69,0.65,0.38,7.57,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220081,18,B,69.7,7,13,,,bowl,possible,,,,,triangular,Slightly,Basalt,7.5YR6/0,Partial,,mod,,837.00,15.10,8.80,3.60,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220082,34,B,25.62,57,258,,,Jar Stopper,probable,,,,,circular,Nearly,Ceramic,7.5YR7/4,Complete,100,mod,,24.20,3.77,3.30,0.81,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220083,27,B,25.62,55,246,,,Spindle Whorl,probable,,,,,crescent,Nearly,Ceramic,7.5YR8/2,Partial,50,crude,,30.58,6.63,3.53,1.73,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220084,58,B,24.42,48,164,,,upper grinding stone,possible,,,,,ovoid,Nearly,Basalt,Gley 1 5/N,Partial,,mod,,6035.00,300.00,170.00,90.00,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220085,30,B,69.7,16,20,,,mill stone,,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220086,29,B,25.62,35,249,,,hand grinder,probable,,,,,Loaf-Shaped,Nearly,Basalt,Gley 2 3/10G,Partial,,mod,,485.00,9.90,7.64,4.61,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220087,52,B,25.61,19,127,,,hand grinder,certain,,,,,circular,Nearly,stone,Gley 1 7/10Y,Complete,90,mod,,795.00,9.67,8.46,5.74,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220088,11,B,25.62,1,,,,Upper Grinding Stone,probable,,,,,Loaf-Shaped,Slightly,Basalt,10YR4/1,Partial,100,mod,,1712.00,16.00,12.03,7.32,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220089,55,B,24.42,26,162,,,hand grinder,possible,,,,,ovoid,Slightly,Basalt,10YR7/1,Partial,50,crude,,97.48,5.27,4.17,3.26,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220090,14,B,25.62,50,239,,,upper grinding stone,possible,,,,,rectangular,Nearly,Basalt,5YR6/1,Partial,20,crude,,618.00,8.73,6.49,6.34,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220091,28,B,25.61,5,113,,,UD,,,,,,rectangular,Slightly,Basalt,10YR3/2,Partial,,fine,,173.00,6.98,6.92,1.89,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220092,16,B,42.21,39,121,,B22.0607,hand grinder,probable,,,,,circular,Nearly,Basalt,10YR7/1,Complete,100,,,1002.00,9.41,8.05,7.05,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220093,22,B,24.42,26,145,,,whetstone,certain,,,,,triangular,rounded,stone,5YR5/2,Complete,100%,mod,,233.00,10.37,5.41,2.65,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
A220094,10,B,25.62,1,,,,mortar,certain,,,,,ovoid,Slightly,Basalt,Gley 1 4/N,Partial,25%,mod,,9071.85,30.00,30.00,17.00,,,broken,1,DoA Karak,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220095,56,B,25.61,1,125,,,Jar Stopper,possible,,,,,circullar,Slightly,Ceramic,5YR6/4,Complete,100%,crude,,28.61,5.23,4.67,0.99,4.67,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220096,20,B,69.7,7,15,,,nail,certain,,,,,linear,Nearly,metal,10R4/1,Partial,90%,mod,,2.27,3.66,1.79,0.61,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220097,2,B,25.61,4,112,,,Bead,certain,,,,,lentoid,Nearly,glass,10R2.5/2,Partial,70%,,,0.66,1.29,1.16,1.01,1.29,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220098,12,B,55.5,0,0,,B22.0579,Bangle,possible,,,,,crescent,Slightly,glass,Gley 1 2.5/N,Partial,,,,2.98,3.24,0.81,0.94,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220099,29,B,69.7,7,18,,,UD,,,,,,lunate,Exactly,glass,Gley 2 7/5B,,,,,0.29,1.51,0.55,0.25,,,"broken,Partialile",1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220100,10,B,55.6,0,0,,B22.0577,Bangle,possible,,,,,lunate,Nearly,glass,Gley 2 6/10BG,Partial,,,,0.91,2.33,0.51,0.41,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220101,21,B,69.7,7,15,,B22.0614,Bangle,possible,,,,,lunte,Nearly,glass,Gley 1 2.5/N,Partial,,,,4.38,4.16,0.75,0.71,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220102,20,B,24.42,26,143,,,UD,,,,,,cylindricalNearly,,glass,Gley 2 3/10BG,Partial,,,,1.11,1.56,0.66,0.64,,,broken,1,CNEA,Also: 10R 4/6,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220103,5,B,70.6,0,0,,B22.0426,Bangle,possible,,,,,Circular,Nearly,glass,Gley 2 4/10B,Partial,,,,4.38,3.15,0.91,0.82,,,broken,1,CNEA,Also: Gley 2 8/10B,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
