B220001,31,B,25.61,5,114,,,zoomorphic figurine,,,,,,Cylindrical,somewhat,clay,,frag,,crude,painted,27.41,3.81,3.17,3.83,,,broken,1,DoA Karak,Various colors,,,,,,,,,,,,,,,,,
B220002,39,B,25.61,19,124,,,figurine,certain,,,,,amorphous,somewhat,ceramic,7.5YR2/2,frag,30,mod,painted/molded,76.22,6.41,4.34,6.29,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220003,25,B,25.62,35,245,,,ring,probable,,,,,circular,exactly,metal,,complete,100,mod,,4.09,,,,2.10,1.00,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220004,56,B,24.42,26,155,,,inscription on bowl fragment,,,,,,rectangular,nearly,ceramic,7.5YR8/3,frag,,mod,,14.12,4.43,3.55,0.78,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220005,19,B,41.3,25,65,,,stamp,probable,,,,,conical,somewhat,ceramic,7.5YR8/2,frag,,mod,,55.99,5.59,3.61,5.60,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220006,1,B,56.32,0,0,,B22.0001,coin,certain,,,,,circular,nearly,metal,,complete,95,UD,,2.04,1.38,1.32,0.23,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220007,2,B,55.1,0,0,,B22.0002,bead,certain,,,,,donut,nearly,carnelian,10R5/8,complete,95,fine,,0.15,0.35,,,0.53,0.23,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220008,40,B,42.21,47,133,,,inscription on bowl fragment,certain,,,,,amorphous,somewhat,ceramic,,frag,,crude,,136,9.86,7.48,1.23,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220009,84,B,24.42,35,187,,,bead,certain,,,,,donut,exactly,carnelian,10YR4/6,complete,100,fine,,0.18,,,,0.57,0.01,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220010,74,B,42.21,54,158,,,bead,certain,,,,,spherical,nearly,stone,10YR7/3,complete,100,fine,,1.12,0.94,0.94,,,0.15,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220011,116,B,25.62,65,229,,,bead,certain,,,,,circular,slightly,carnelian,10R4/8,complete,99,mod,,0.27,0.66,0.61,0.63,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220012,76,B,25.61,1,133,,,figurine,possible,,,,,Cylindrical,nearly,clay,7.5YR8/1,frag,,mod,painted,5.2,1.90,1.75,1.91,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220013,67,B,25.62,36,269,,B22.0835,bead,certain,,,,,donut,nearly,glass,5Y/2,complete,100,fine,,1.61,1.05,0.85,1.01,1.05,0.23,whole,1.00,DoA Karak,,,,,,,,,,,,,,,,,,
B220014,75,B,25.61,1,133,,,weight,probable,,,,,rectangular,rounded,hematite,2.5YR3/2,complete,100,fine,,7.69,2.04,1.30,2.00,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220015,21,B,0,0,0,,,coin,certain,,,,,circular,nearly,metal,5YR3/5,complete,100,fine,,4.8,1.77,1.76,0.26,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220016,20,B,0,0,0,,B22-1513,stamp,certain,,,,,rectangular,rounded,clay,,complete,100,mod,,100,7.60,4.48,3.59,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220017,75,B,41.3,27,81,,,bead,probable,,,,,donut,nearly,stone,10YR7/3,complete,100,mod,,23.9,..93,0.87,0.11,,0.20,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220018,157,B,24.42,61,207,,,bead,certain,,,,,oval,nearly,UD,10YR7/1,complete,100,mod,,1.5,1.32,1.08,0.76,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220019,81,B,24.42,66,202,,B22.0931,Pithos C,certain,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220020,78,B,24.42,65,195,,B22.0910,Pithos B,certain,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220021,72,B,24.42,64,194,,B22.0854,Pithos A,certain,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220022,79,B,41.3,27,"73, etc",,,Storage Jar,certain,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220023,192,B,24.42,0,218,,,bead,certain,,,,,donut,somewhat,UD,10YR8/1,comp,100,mod,,0.8,,1.10,0.89,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
B220024,103,B,25.62,39,285,,,metal ,certain,,,,,various,,metal,7.5YR5/1,frag,,,,6.00,3.95,2.50,6.50,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220025,115,B,25.61,51,155,,,lionhead,probable,,,,,various,,basalt,10YR4/1,frag,,fine,,136.00,52.9,3.9,4.46,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220026,87,B,25.61,4,137,,,figurine,probable,,,,,cube,rounded,clay,10YR4/1,frag,20,fine,,74.00,4.60,4.30,2.49,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220027,140,B,69.7,29,61,,B22-1962,bead,probable,,,,,conical,,,,comp,100,,,0.41,6.05,,,7.76,3.54,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220028,188,B,25.62,77,33,,,glass bead,probable,,,,,round ,nearly,glass,2.5Y4/2,frag,75,fine,,8.20,,,,o.78,0.10,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220029,148,B,25.61,56,163,,,bead,certain,,,,,donut,exactly,UD,,comp,100,mod,,0.25,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220030,116,B,42.21,62,176,,,bead,certain,,,,,circular,nearly,bone,10YR8/4,comp,100,very fine,,0.50,,,,1.39,0.44,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220031,29,B,69.7,25,42,,B22-1219,bead,certain,,,,,circular,nearly,stone,2.5Y6/0,comp,100,mod,,0.67,,,,8.88,3.01,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220032,151,B,69.7,32,69,,B22-1914,bead,certain,,,,,cylindrical,nearly,stone,Gley 1 7/5G,comp,100,find,,6.80,1.31,,,1.66,,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220033,147,B,35.62,53,313,,,bead,certain,,,,,circular,exactly,carnelian,10R4/8,comp,100,mod,,0.89,6.09,0.10,,,2.37,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220034,160,B,25.62,70,318,,,bead,probable,,,,,cylindrical,,,5YR8/2,,,,,0.04,2.58,,,3.11,1.16,whole,1,DoA Karak,,,,,,,,,,,,,,,,,,
B220035,98,B,42.21,43,166,,,Loom Weight,Certain,,,,,Spherical,Nearly,Clay,5YR7/4,Complete,100,Moderate,,140.00,5.76,5.86,4.10,,1.27,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220036,64,B,42.21,53,154,,B22.1201,Loom Weight,certain,,,,,Pyramidal,Nearly,Clay,5YR7/3,Complete,100,Crude,,80.00,6.21,3.83,3.67,,0.84,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220037,50,B,42.21,52,153,,,Loom Weight,certain,,,,,Rectangular,Nearly,Clay,5YR7/3,Partial,90,Moderate,,196.00,7.34,5.01,4.04,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220038,83,B,42.21,55,157,,B22.1259,Loom Weight,certain,,,,,Pyramidal,nearly,Clay,2.5YR7/3,Partial,90,Mod,,805.00,13.18,8.21,7.23,,0.83,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220039,87,B,42.21,55,157,,B22.1265,Loom Weight,Certain,,,,,Pyramidal,nearly,clay,7.5YR7/4,Partial,90,Mod,,195.00,6.70,4.14,4.04,,0.47,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220040,66,B,42.21,53,154,,B22.1203,Loom Weight,probable,,,,,Pyramidal,Slightly,Clay,5YR7/2,Complete,100,Crude,,605.00,11.00,6.34,6.21,,0.83,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220041,97,B,42.21,43,164,,,Loom Weight,certain,,,,,Rectangular,nearly,clay,5YR7/1,Complete,100,Moderate,,160.00,7.26,4.12,4.10,,0.37,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220042,41,B,41.3,28,82,,,Bead,certain,,,,,Cirular,exactly,Stone,10YR8/2,Complete,100,Fine,,7.71,2.24,2.22,1.10,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
B220043,4,B,41.3,0,47,,B22.0247,Bead,Certain,,,,,,,,,,,,,,,,,,,,,DoA Karak,,,,,,,,,,,,,,,,,,