B22.0001,27-Jun-2022,COIN,56.32,1,
B22.0002,27-Jun-2022,BEAD,55.10,2,
B22.0059,28-Jun-2022,BANGLE,69.60,3,
B22.0425,04-Jul-2022,SURFACE BANGLE,39.92,4,
B22.0426,04-Jul-2022,SURFACE BANGLE,70.06,5,
B22.0427,04-Jul-2022,SURFACE BANGLE,70.06,6,
B22.0434,04-Jul-2022,BASALT MORTAR FRAG,39.43,7,
B22.0435,04-Jul-2022,CLAY DONUT,39.44,8,
B22.0436,04-Jul-2022,STONE DONUT,39.36,9,
B22.0577,05-Jul-2022,FN1 BANGLE,55.06,10,
B22.0578,05-Jul-2022,FN1 VESSEL RIM BASE,55.05,11,
B22.0579,05-Jul-2022,FN3 DARK BANGLE,55.05,12,
B22.0590,05-Jul-2022,BROWN BRACELET,54.10,13,
B22.0601,06-Jul-2022,Surface BANGLE,69.58,19,
B22.0727,07-Jul-2022,BANGLE SURFACE,25.84,14,
B22.0928,12-Jul-2022,COPPER RING,55.85,15,
B22.1416,21-Jul-2022,SURFACE BANGLE,55.19,16,
B22.1513,26-Jul-2022,JAR HANDLE STAMP IMPRESSION,53.96,20,
B22.1668,26-Jul-2022,BANGLE SURFACE,69.60,18,
B22.1967,28-Jul-2022,Stone Wadi wash,09.71,17,
,28-Jul-2022,Coin- Freidbert No location surface find ,53.96,21,